caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case389,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-29 12:42:28,179,0,2018-11-29 11:58:32
Case407,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-29 12:49:44,179,2,2018-11-29 12:20:24
Case407,Request For Payment REJECTED by ADMINISTRATION,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 1,2018-11-29 13:36:37,179,0,2018-11-29 12:52:10
Case321,Payment Handled,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 2,2018-11-29 14:09:33,179,2,2018-11-29 13:26:41
Case408,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-29 14:30:30,180,0,2018-11-29 14:01:21
Case265,Payment Handled,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 2,2018-11-29 15:38:42,178,2,2018-11-29 14:54:24
Case409,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-29 15:54:18,179,0,2018-11-29 15:25:10
Case313,Payment Handled,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 2,2018-11-29 16:04:41,178,3,2018-11-29 15:21:33
Case369,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-29 16:22:01,178,0,2018-11-29 15:39:02
Case410,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-29 16:57:54,177,2,2018-11-29 16:28:36
Case393,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-29 17:30:02,177,0,2018-11-29 16:46:10
Case410,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-29 17:42:39,177,1,2018-11-29 16:58:12
Case366,Request For Payment SUBMITTED by EMPLOYEE,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 1,2018-11-29 17:45:06,177,2,2018-11-29 17:02:27
Case411,Request For Payment SAVED by EMPLOYEE,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 1,2018-11-29 18:07:43,177,0,2018-11-29 17:38:30
Case304,Payment Handled,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 2,2018-11-29 18:28:07,177,2,2018-11-29 17:44:36
Case412,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-29 19:03:01,176,0,2018-11-29 18:33:47
Case366,Request For Payment APPROVED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-29 19:20:28,176,1,2018-11-29 18:37:43
Case413,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-29 19:41:24,176,0,2018-11-29 19:12:12
Case366,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-29 20:03:23,176,0,2018-11-29 19:20:46
Case366,Request For Payment REJECTED by EMPLOYEE,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 1,2018-11-29 20:46:16,175,0,2018-11-29 20:03:41
Case352,Payment Handled,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 2,2018-11-29 20:51:14,175,2,2018-11-29 20:07:28
Case414,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-29 21:19:37,175,0,2018-11-29 20:50:32
Case377,Request For Payment REJECTED by EMPLOYEE,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 1,2018-11-29 22:03:17,173,0,2018-11-29 21:23:28
Case397,Request For Payment REJECTED by MISSING,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 1,2018-11-29 22:29:04,173,0,2018-11-29 21:44:44
Case333,Payment Handled,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 2,2018-11-29 22:43:42,173,2,2018-11-29 21:58:19
Case305,Payment Handled,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 2,2018-11-29 22:50:17,173,3,2018-11-29 22:06:54
Case294,Payment Handled,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 2,2018-11-29 22:52:37,173,4,2018-11-29 22:08:16
Case302,Payment Handled,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 2,2018-11-30 00:45:33,169,2,2018-11-30 00:02:29
Case415,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 01:33:11,169,0,2018-11-30 01:03:35
Case377,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 04:32:14,168,2,2018-11-30 03:48:45
Case416,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 04:33:18,169,0,2018-11-30 04:03:43
Case369,Request For Payment SUBMITTED by EMPLOYEE,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 1,2018-11-30 06:58:03,168,2,2018-11-30 06:15:22
Case337,Payment Handled,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 2,2018-11-30 07:31:40,168,2,2018-11-30 06:48:42
Case417,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 09:05:50,168,2,2018-11-30 08:36:23
Case418,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 09:21:34,169,0,2018-11-30 08:52:00
Case417,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 09:51:04,169,1,2018-11-30 09:06:08
Case419,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 10:44:22,169,0,2018-11-30 10:14:47
Case331,Payment Handled,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 2,2018-11-30 12:00:50,168,2,2018-11-30 11:17:54
Case420,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 12:31:47,168,0,2018-11-30 12:02:13
Case421,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 14:31:01,168,2,2018-11-30 14:01:31
Case421,Request For Payment APPROVED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 15:16:14,168,1,2018-11-30 14:31:19
Case422,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 16:25:29,169,2,2018-11-30 15:55:59
Case422,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 17:10:39,169,0,2018-11-30 16:25:48
Case423,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 19:49:15,170,2,2018-11-30 19:19:44
Case424,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 20:28:50,171,2,2018-11-30 19:59:17
Case423,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 20:34:26,170,0,2018-11-30 19:49:36
Case424,Request For Payment REJECTED by PRE_APPROVER,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 21:17:18,171,0,2018-11-30 20:32:33
Case425,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-11-30 21:40:48,172,0,2018-11-30 21:11:16
Case380,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 02:23:29,171,2,2018-12-01 01:42:18
Case377,Request For Payment APPROVED by PRE_APPROVER,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 02:38:21,171,0,2018-12-01 01:55:30
Case426,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 03:10:01,172,0,2018-12-01 02:40:32
Case398,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 07:36:27,171,0,2018-12-01 06:52:52
Case405,Request For Payment REJECTED by MISSING,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 09:41:11,170,0,2018-12-01 08:57:12
Case380,Request For Payment REJECTED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 10:31:32,169,0,2018-12-01 09:48:13
Case369,Request For Payment REJECTED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 10:56:53,169,1,2018-12-01 10:14:26
Case427,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 10:57:23,170,0,2018-12-01 10:27:54
Case404,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 11:14:21,170,0,2018-12-01 10:30:46
Case428,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 11:49:51,169,2,2018-12-01 11:20:44
Case428,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 12:34:06,169,1,2018-12-01 11:50:09
Case401,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 13:45:35,169,0,2018-12-01 13:01:55
Case429,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 13:52:08,170,0,2018-12-01 13:22:40
Case430,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 14:59:48,169,0,2018-12-01 14:30:20
Case410,Request For Payment REJECTED by MISSING,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 17:03:53,168,0,2018-12-01 16:19:43
Case389,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 18:14:10,167,2,2018-12-01 17:32:20
Case431,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 18:23:11,168,0,2018-12-01 17:53:44
Case383,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 18:28:22,167,3,2018-12-01 17:47:07
Case402,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 18:44:20,168,0,2018-12-01 18:00:32
Case407,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 19:41:08,166,0,2018-12-01 18:57:26
Case432,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 20:52:35,166,2,2018-12-01 20:23:21
Case432,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-01 21:37:16,166,0,2018-12-01 20:52:53
Case369,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 03:36:01,166,0,2018-12-02 02:53:28
Case380,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 04:24:15,166,0,2018-12-02 03:41:25
Case383,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 04:37:16,166,1,2018-12-02 03:54:07
Case433,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 04:40:42,167,0,2018-12-02 04:11:11
Case389,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 04:47:06,166,2,2018-12-02 04:04:01
Case383,Request For Payment REJECTED by MISSING,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 05:51:10,166,0,2018-12-02 05:08:40
Case377,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 06:09:14,166,1,2018-12-02 05:26:34
Case434,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 10:01:01,166,0,2018-12-02 09:31:30
Case435,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 10:30:52,166,2,2018-12-02 10:01:24
Case369,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 10:57:55,166,3,2018-12-02 10:15:36
Case435,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 11:15:45,166,0,2018-12-02 10:31:10
Case369,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 11:39:30,166,1,2018-12-02 10:58:13
Case436,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 12:15:01,167,3,2018-12-02 11:45:34
Case380,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 12:20:29,166,2,2018-12-02 11:38:02
Case399,Request Payment,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 2,2018-12-02 12:24:05,166,1,2018-12-02 11:39:57
Case436,Request For Payment REJECTED by SUPERVISOR,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 1,2018-12-02 12:59:55,167,0,2018-12-02 12:15:19
Case380,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 13:27:52,167,1,2018-12-02 12:46:54
Case334,Request Payment,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 2,2018-12-02 13:39:50,167,1,2018-12-02 12:56:57
Case437,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 13:42:08,168,2,2018-12-02 13:12:41
Case437,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 14:27:06,168,1,2018-12-02 13:42:26
Case438,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 14:29:46,169,2,2018-12-02 14:00:13
Case438,Request For Payment APPROVED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 15:14:45,169,1,2018-12-02 14:30:04
Case439,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 18:04:08,170,2,2018-12-02 17:34:37
Case440,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 18:44:16,171,0,2018-12-02 18:14:49
Case439,Request For Payment APPROVED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 18:49:06,170,1,2018-12-02 18:04:26
Case369,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 19:07:09,171,0,2018-12-02 18:25:37
Case441,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 20:08:04,170,0,2018-12-02 19:38:37
Case380,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 21:15:31,169,0,2018-12-02 20:33:53
Case442,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 21:51:22,169,2,2018-12-02 21:21:50
Case442,Request For Payment APPROVED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 22:36:20,169,1,2018-12-02 21:51:40
Case443,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 22:50:25,170,2,2018-12-02 22:20:52
Case443,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-02 23:35:24,170,1,2018-12-02 22:50:43
Case444,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 01:41:01,171,0,2018-12-03 01:11:47
Case374,Payment Handled,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 2,2018-12-03 04:59:32,170,2,2018-12-03 04:16:41
Case445,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 05:25:29,171,2,2018-12-03 04:56:50
Case445,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 06:09:54,170,1,2018-12-03 05:25:47
Case446,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 09:36:33,171,0,2018-12-03 09:07:17
Case447,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 10:53:51,171,0,2018-12-03 10:24:35
Case448,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 11:49:28,171,2,2018-12-03 11:20:35
Case318,Payment Handled,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 2,2018-12-03 11:49:43,170,2,2018-12-03 11:06:27
Case448,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 12:34:04,170,1,2018-12-03 11:49:46
Case449,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 12:57:14,171,2,2018-12-03 12:27:56
Case450,Request For Payment SUBMITTED by EMPLOYEE,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 1,2018-12-03 13:26:07,172,3,2018-12-03 12:56:48
Case449,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 13:41:29,172,0,2018-12-03 12:57:32
Case417,Request Payment,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 2,2018-12-03 13:53:44,172,1,2018-12-03 13:07:33
Case450,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 14:10:41,172,1,2018-12-03 13:26:25
Case436,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 14:27:14,172,0,2018-12-03 13:43:13
Case451,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 14:53:52,173,2,2018-12-03 14:24:33
Case435,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 15:05:03,172,1,2018-12-03 14:20:34
Case451,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 15:38:06,172,0,2018-12-03 14:54:10
Case421,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 15:56:52,171,1,2018-12-03 15:11:28
Case452,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 16:00:11,172,2,2018-12-03 15:30:52
Case452,Request For Payment APPROVED by PRE_APPROVER,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 16:44:43,172,0,2018-12-03 16:00:29
Case453,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 17:22:35,173,2,2018-12-03 16:53:27
Case428,Request For Payment REJECTED by MISSING,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 18:03:16,173,0,2018-12-03 17:18:35
Case453,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 18:06:55,173,0,2018-12-03 17:22:53
Case454,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 18:23:58,174,2,2018-12-03 17:54:38
Case454,Request For Payment APPROVED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 19:08:38,173,1,2018-12-03 18:24:16
Case422,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 19:55:07,173,0,2018-12-03 19:10:16
Case438,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 21:22:03,172,1,2018-12-03 20:37:42
Case423,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 22:15:36,172,0,2018-12-03 21:30:47
Case424,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 22:23:04,172,1,2018-12-03 21:38:24
Case439,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 22:40:59,172,1,2018-12-03 21:56:33
Case455,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 23:00:58,173,2,2018-12-03 22:31:37
Case456,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 23:25:04,174,0,2018-12-03 22:55:52
Case455,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-03 23:45:10,174,0,2018-12-03 23:01:16
Case445,Request For Payment REJECTED by MISSING,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 01:34:24,173,0,2018-12-04 00:49:47
Case442,Request For Payment APPROVED by BUDGET OWNER,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 02:08:56,173,1,2018-12-04 01:24:33
Case457,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 02:17:49,173,0,2018-12-04 01:48:24
Case432,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 06:22:34,172,0,2018-12-04 05:38:16
Case458,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 06:52:20,172,0,2018-12-04 06:22:56
Case459,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 07:40:34,172,0,2018-12-04 07:11:11
Case448,Request For Payment REJECTED by MISSING,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 07:54:03,171,0,2018-12-04 07:09:32
Case449,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 08:01:13,172,0,2018-12-04 07:17:00
Case460,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 08:37:42,171,2,2018-12-04 08:08:16
Case460,Request For Payment APPROVED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 09:22:34,171,1,2018-12-04 08:38:00
Case450,Request For Payment REJECTED by MISSING,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 09:54:06,171,0,2018-12-04 09:09:44
Case461,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 09:57:37,172,2,2018-12-04 09:28:07
Case462,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 10:29:13,172,2,2018-12-04 09:59:43
Case451,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 10:33:38,172,0,2018-12-04 09:49:25
Case461,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 10:42:14,171,0,2018-12-04 09:57:55
Case462,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 11:13:50,172,1,2018-12-04 10:29:31
Case452,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-12-04 11:48:33,171,1,2018-12-04 11:04:25
